load_ts,time,user
2022-12-12 12:00:00.000,00:05:55,BrilliantGreenFlamingo
2022-12-12 17:15:00.000,00:01:31,Floralnomad
2022-12-12 19:11:00.000,00:01:19,Hepzibar
2022-12-12 23:48:00.000,00:01:06,UmbilicusProfundus
2022-12-13 00:41:00.000,00:01:13,Drywhitefruitycidergin
2022-12-13 01:39:00.000,00:01:21,Floralnomad
2022-12-13 05:14:00.000,00:01:11,JoyDivisionOvenGlovesx
2022-12-13 06:47:00.000,00:00:53,Sunbird24
2022-12-13 07:18:00.000,00:01:36,DadDadDad
2022-12-13 07:27:00.000,00:01:19,oviraptor21
2022-12-13 07:43:00.000,00:01:04,UmbilicusProfundus
2022-12-13 08:12:00.000,00:00:46,Readytostartagain
2022-12-13 08:54:00.000,00:00:58,MarmiteWine
2022-12-13 14:15:00.000,00:01:29,Stokey
2022-12-13 17:55:00.000,00:05:23,hoochyhag
2022-12-13 21:04:00.000,00:02:56,Hepzibar
2022-12-13 23:19:00.000,00:01:54,FaazoHuyzeoSix
2022-12-14 00:32:00.000,00:02:50,Drywhitefruitycidergin
2022-12-14 00:47:00.000,00:01:13,Floralnomad
2022-12-14 06:06:00.000,00:00:51,JoyDivisionOvenGlovesx
2022-12-14 06:22:00.000,00:00:47,Sunbird24
2022-12-14 06:44:00.000,00:02:20,Hepzibar
2022-12-14 07:45:00.000,00:01:44,DadDadDad
2022-12-14 08:14:00.000,00:01:23,Readytostartagain
2022-12-14 09:45:00.000,00:00:50,oviraptor21
2022-12-14 10:37:00.000,00:01:16,MarmiteWine
2022-12-14 15:51:00.000,00:03:33,BrilliantGreenFlamingo
2022-12-15 01:34:00.000,00:00:46,Sunbird24
2022-12-15 01:38:00.000,00:01:28,Floralnomad
2022-12-15 04:30:00.000,00:00:52,JoyDivisionOvenGlovesx
2022-12-15 06:43:00.000,00:03:16,Hepzibar
2022-12-15 06:57:00.000,00:03:15,Drywhitefruitycidergin
2022-12-15 07:18:00.000,00:01:13,oviraptor21
2022-12-15 07:42:00.000,00:02:07,Stokey
2022-12-15 08:38:00.000,00:01:35,bruffin
2022-12-15 08:43:00.000,00:00:54,MarmiteWine
2022-12-15 09:05:00.000,00:00:58,DadDadDad
2022-12-15 16:30:00.000,00:02:56,BrilliantGreenFlamingo
2022-12-15 16:51:00.000,00:04:54,hoochyhag
2022-12-15 20:36:00.000,00:01:05,Readytostartagain
2022-12-15 20:40:00.000,00:01:49,UmbilicusProfundus
2022-12-16 00:55:00.000,00:02:09,Drywhitefruitycidergin
2022-12-16 01:31:00.000,00:01:02,Floralnomad
2022-12-16 02:16:00.000,00:00:40,Sunbird24
2022-12-16 05:50:00.000,00:00:50,JoyDivisionOvenGlovesx
2022-12-16 07:26:00.000,00:00:52,oviraptor21
2022-12-16 09:10:00.000,00:02:03,DadDadDad
2022-12-16 16:13:00.000,00:00:59,Readytostartagain
