load_ts,user,time
2022-12-11 09:16:00.000,JoyDivisionOvenGlovesx,00:01:07
2022-12-11 09:49:00.000,Stokey,00:01:43
2022-12-11 10:04:00.000,DadDadDad,00:02:50
2022-12-11 11:21:00.000,Floralnomad,00:02:25
2022-12-11 12:42:00.000,MarmiteWine,00:01:18
2022-12-11 13:47:00.000,LikeTearsInRain,00:05:01
2022-12-11 21:10:00.000,Drywhitefruitycidergin,00:03:08
2022-12-12 03:28:00.000,Sunbird24,00:00:55
2022-12-12 06:28:00.000,JoyDivisionOvenGlovesx,00:01:48
2022-12-12 07:33:00.000,DadDadDad,00:02:39
2022-12-12 09:12:00.000,MarmiteWine,00:02:11
2022-12-12 12:00:00.000,BrilliantGreenFlamingo,00:05:55
2022-12-12 17:15:00.000,Floralnomad,00:01:31
2022-12-12 19:11:00.000,Hepzibar,00:01:19
2022-12-12 23:48:00.000,UmbilicusProfundus,00:01:06
2022-12-13 00:41:00.000,Drywhitefruitycidergin,00:01:13
2022-12-13 01:39:00.000,Floralnomad,00:01:21
2022-12-13 05:14:00.000,JoyDivisionOvenGlovesx,00:01:11
2022-12-13 06:47:00.000,Sunbird24,00:00:53
2022-12-13 07:18:00.000,DadDadDad,00:01:36
2022-12-13 07:27:00.000,oviraptor21,00:01:19
2022-12-13 07:43:00.000,UmbilicusProfundus,00:01:04
2022-12-13 08:12:00.000,Readytostartagain,00:00:46
2022-12-13 08:54:00.000,MarmiteWine,00:00:58
2022-12-13 14:15:00.000,Stokey,00:01:29
2022-12-13 17:55:00.000,hoochyhag,00:05:23
2022-12-13 21:04:00.000,Hepzibar,00:02:56
2022-12-13 23:19:00.000,FaazoHuyzeoSix,00:01:54
2022-12-14 00:32:00.000,Drywhitefruitycidergin,00:02:50
2022-12-14 00:47:00.000,Floralnomad,00:01:13
2022-12-14 06:06:00.000,JoyDivisionOvenGlovesx,00:00:51
2022-12-14 06:22:00.000,Sunbird24,00:00:47
2022-12-14 06:44:00.000,Hepzibar,00:02:20
2022-12-14 07:45:00.000,DadDadDad,00:01:44
2022-12-14 08:14:00.000,Readytostartagain,00:01:23
2022-12-14 09:45:00.000,oviraptor21,00:00:50
2022-12-14 10:37:00.000,MarmiteWine,00:01:16
2022-12-14 15:51:00.000,BrilliantGreenFlamingo,00:03:33
2022-12-15 01:34:00.000,Sunbird24,00:00:46
2022-12-15 01:38:00.000,Floralnomad,00:01:28
2022-12-15 04:30:00.000,JoyDivisionOvenGlovesx,00:00:52
2022-12-15 06:43:00.000,Hepzibar,00:03:16
2022-12-15 06:57:00.000,Drywhitefruitycidergin,00:03:15
2022-12-15 07:18:00.000,oviraptor21,00:01:13
2022-12-15 07:42:00.000,Stokey,00:02:07
2022-12-15 08:38:00.000,bruffin,00:01:35
2022-12-15 08:43:00.000,MarmiteWine,00:00:54
2022-12-15 09:05:00.000,DadDadDad,00:00:58
2022-12-15 16:30:00.000,BrilliantGreenFlamingo,00:02:56
2022-12-15 16:51:00.000,hoochyhag,00:04:54
2022-12-15 20:36:00.000,Readytostartagain,00:01:05
2022-12-15 20:40:00.000,UmbilicusProfundus,00:01:49
2022-12-16 00:55:00.000,Drywhitefruitycidergin,00:02:09
2022-12-16 01:31:00.000,Floralnomad,00:01:02
2022-12-16 02:16:00.000,Sunbird24,00:00:40
2022-12-16 05:50:00.000,JoyDivisionOvenGlovesx,00:00:50
2022-12-16 07:26:00.000,oviraptor21,00:00:52
2022-12-16 09:10:00.000,DadDadDad,00:02:03
2022-12-16 16:13:00.000,Readytostartagain,00:00:59
2022-12-16 18:42:00.000,Hepzibar,00:01:34
2022-12-16 21:32:00.000,UmbilicusProfundus,00:00:59
2022-12-16 22:24:00.000,MarmiteWine,00:00:56
2022-12-17 00:59:00.000,Sunbird24,00:00:40
2022-12-17 01:12:00.000,Floralnomad,00:01:33
2022-12-17 07:32:00.000,Hepzibar,00:02:13
2022-12-17 07:37:00.000,Readytostartagain,00:01:17
2022-12-17 07:54:00.000,Stokey,00:02:47
2022-12-17 07:57:00.000,JoyDivisionOvenGlovesx,00:00:57
2022-12-17 08:31:00.000,oviraptor21,00:01:12
2022-12-17 08:39:00.000,UmbilicusProfundus,00:01:45
2022-12-17 08:40:00.000,Drywhitefruitycidergin,00:01:42
2022-12-17 08:52:00.000,DadDadDad,00:01:46
2022-12-17 16:53:00.000,MarmiteWine,00:02:43
2022-12-17 16:54:00.000,hoochyhag,00:04:37
2022-12-18 00:17:00.000,Sunbird24,00:00:49
2022-12-18 00:26:00.000,Drywhitefruitycidergin,00:02:03
